game_number	player_bankrupt	turn
623	Charly	39
624	Charly	53
624	Alice	67
624	Bob	73
626	Charly	47
626	Alice	58
626	Bob	63
625	Hero	37
625	Alice	54
625	Charly	57
627	Alice	41
627	Charly	44
627	Bob	47
629	Bob	44
629	Hero	52
629	Alice	55
630	Bob	68
630	Charly	72
630	Hero	91
632	Alice	78
632	Hero	85
632	Charly	92
633	Alice	26
633	Bob	32
633	Hero	32
634	Hero	26
634	Alice	27
634	Bob	32
635	Alice	35
635	Bob	47
635	Hero	50
637	Alice	27
637	Hero	32
637	Bob	43
636	Charly	79
636	Alice	88
636	Bob	114
640	Bob	36
640	Charly	40
640	Alice	48
638	Alice	55
638	Charly	74
638	Hero	124
641	Hero	30
641	Charly	34
641	Alice	40
642	Bob	55
642	Charly	60
642	Hero	69
643	Charly	35
643	Hero	46
643	Bob	49
644	Charly	35
644	Alice	41
644	Hero	52
645	Bob	21
645	Charly	29
645	Hero	41
647	Bob	38
647	Hero	42
647	Alice	53
649	Charly	25
649	Bob	32
649	Hero	41
650	Bob	40
650	Hero	59
650	Charly	68
653	Charly	40
653	Bob	46
653	Hero	48
654	Alice	30
654	Bob	40
654	Hero	58
655	Charly	20
655	Alice	21
655	Hero	30
656	Bob	70
656	Charly	77
656	Alice	77
657	Bob	33
657	Charly	36
657	Alice	43
660	Bob	30
660	Alice	31
660	Charly	40
658	Charly	36
658	Alice	46
658	Bob	53
663	Alice	52
663	Hero	52
663	Bob	54
661	Alice	52
661	Hero	89
661	Bob	103
665	Hero	47
665	Alice	62
665	Bob	63
664	Bob	46
664	Alice	49
664	Charly	109
666	Bob	37
666	Hero	39
666	Alice	55
667	Bob	40
667	Hero	49
667	Alice	74
668	Hero	26
668	Charly	29
668	Bob	30
670	Alice	43
670	Hero	44
670	Bob	46
671	Alice	46
671	Charly	51
671	Bob	53
673	Charly	32
673	Alice	41
673	Bob	70
675	Hero	36
675	Alice	41
675	Charly	93
678	Charly	30
678	Hero	51
678	Bob	56
677	Alice	38
677	Charly	49
677	Hero	62
680	Alice	44
680	Charly	47
680	Bob	52
682	Charly	51
682	Bob	61
682	Hero	84
683	Charly	52
683	Alice	63
683	Hero	63
684	Alice	28
684	Hero	48
684	Bob	56
681	Charly	186
681	Hero	194
681	Bob	196
687	Hero	35
687	Alice	41
687	Bob	44
689	Hero	49
689	Alice	50
689	Bob	53
688	Alice	102
688	Hero	128
688	Charly	151
692	Hero	34
